,n_estimators,max_leaf_nodes,max_features,train_size,train_time,test_time,train_score,test_score
433,1,2,1,2,0.000557999999955,0.020008,0.722141867227,0.591136879653
434,53,4,7,7139,0.115556,0.31043,0.503808070201,0.509356164571
435,10,7,9,5,0.00628200000006,0.0680089999998,0.22634397246,0.601817846101
436,1,2,3,41,0.000969000000168,0.0215369999999,0.572803747707,0.55646131166
437,48,13,25,5877,0.356719,0.338336,0.41611007545,0.423487129793
438,1,6,2,71,0.000978000000032,0.0284670000001,0.53699379162,0.575258587179
439,93,2,152,60,0.042555,0.472777,0.539786752782,0.487266558614
440,2,9,1,32,0.000966000000062,0.0349000000001,0.409129774316,0.502762106687
441,1,2,1,31,0.00100399999997,0.0217709999999,0.469784159613,0.543478583069
442,3,5,5,2,0.00133400000004,0.0277019999999,0.307354047765,0.889879334367
443,9,3,11,36689,0.224656,0.0703609999998,0.500086149448,0.501778677412
444,5,2,3,11429,0.023099,0.0388499999999,0.530252018007,0.52950364471
445,12,7,8,61,0.00827700000013,0.101762,0.398721679329,0.523274467128
446,9,2,8,986,0.00696300000004,0.069236,0.533240620974,0.530636703411
447,1,6,9,4854,0.00812899999983,0.0220179999999,0.5240048202,0.518853933487
448,8,12,55,4,0.00287200000002,0.055691,0.201287727673,0.521984838613
449,2,16,30,1690,0.00666899999987,0.028607,0.418848230972,0.458191664053
450,5,4,73,21952,0.335448,0.0460659999999,0.470770781557,0.469832801915
451,23,4,10,4953,0.0483549999999,0.140289,0.498335378174,0.500298355482
452,13,4,65,13,0.004819,0.0842849999999,0.20664183105,0.536897949682
453,4,3,88,4,0.00278700000013,0.0469559999999,0.174278480068,0.615456602504
454,61,11,18,2803,0.186077,0.407678,0.435481100094,0.436656967505
455,24,2,4,42,0.00970400000006,0.14023,0.466342460133,0.538117535337
456,3,2,49,4,0.00217199999997,0.0328900000002,0.186886385607,0.53308807089
457,2,3,1,7,0.00135099999989,0.029141,0.617743850525,0.583590853411
458,6,4,40,27822,0.311362,0.0485619999999,0.4656207855,0.465010698739
459,7,6,5,2264,0.00940100000003,0.0584959999999,0.502613593315,0.511698889438
460,21,3,61,5483,0.156124,0.152042,0.470338277804,0.469248835052
