Année, Mois, Jour, Heure, Durée, Début (secondes écoulées depuis l'epoch), Fin (secondes écoulées depuis l'epoch)
2015, 6, 25, 13:02:25, 59:35, 1435230145, 1435233720
2015, 6, 25, 15:41:32, 01:00:28, 1435239692, 1435243320
2015, 6, 25, 17:20:15, 59:45, 1435245615, 1435249200
2015, 6, 25, 18:36:41, 53:19, 1435250201, 1435253400
2015, 6, 25, 21:35:16, 59:44, 1435260916, 1435264500
2015, 6, 25, 23:16:52, 30:08, 1435267012, 1435268820
2015, 6, 26, 00:10:17, 29:43, 1435270217, 1435272000
2015, 6, 29, 16:26:31, 30:29, 1435587991, 1435589820
2015, 6, 29, 17:02:00, 30:00, 1435590120, 1435591920
2015, 6, 29, 17:37:00, 30:00, 1435592220, 1435594020
2015, 6, 29, 20:00:10, 59:50, 1435600810, 1435604400
2015, 6, 29, 21:05:00, 01:00:00, 1435604700, 1435608300
2015, 6, 29, 22:10:00, 01:00:00, 1435608600, 1435612200
2015, 6, 30, 15:19:15, 59:45, 1435670355, 1435673940
2015, 6, 30, 16:24:00, 01:00:00, 1435674240, 1435677840
2015, 6, 30, 17:31:34, 01:00:26, 1435678294, 1435681920
2015, 6, 30, 18:40:33, 01:00:27, 1435682433, 1435686060
2015, 6, 30, 21:28:32, 01:00:28, 1435692512, 1435696140
2015, 6, 30, 22:35:07, 59:53, 1435696507, 1435700100
2015, 6, 30, 23:49:05, 59:55, 1435700945, 1435704540
2015, 7, 1, 09:54:42, 01:00:18, 1435737282, 1435740900
2015, 7, 1, 11:00:00, 01:00:00, 1435741200, 1435744800
2015, 7, 1, 13:07:47, 01:00:13, 1435748867, 1435752480
2015, 7, 1, 14:13:00, 01:00:00, 1435752780, 1435756380
2015, 7, 1, 15:36:14, 59:46, 1435757774, 1435761360
2015, 7, 1, 16:41:00, 01:00:00, 1435761660, 1435765260
2015, 7, 1, 18:27:36, 01:00:24, 1435768056, 1435771680
2015, 7, 2, 10:56:46, 01:00:14, 1435827406, 1435831020
2015, 7, 2, 13:23:27, 59:33, 1435836207, 1435839780
2015, 7, 2, 14:28:00, 01:00:00, 1435840080, 1435843680
2015, 7, 2, 15:36:22, 59:38, 1435844182, 1435847760
2015, 7, 2, 16:46:20, 59:40, 1435848380, 1435851960
2015, 7, 4, 16:33:21, 59:39, 1436020401, 1436023980
2015, 7, 4, 17:40:33, 01:00:27, 1436024433, 1436028060
2015, 7, 4, 18:56:20, 59:40, 1436028980, 1436032560
2015, 7, 4, 20:02:32, 01:00:28, 1436032952, 1436036580
2015, 7, 4, 21:14:10, 59:50, 1436037250, 1436040840
2015, 7, 5, 14:02:00, 01:00:00, 1436097720, 1436101320
2015, 7, 5, 15:07:00, 01:00:00, 1436101620, 1436105220
2015, 7, 5, 16:22:09, 59:51, 1436106129, 1436109720
2015, 7, 5, 18:05:00, 53:26, 1436112300, 1436115506
2015, 7, 13, 15:32:01, 01:00:03, 1436794321, 1436797924
2015, 7, 13, 16:37:00, 01:00:03, 1436798220, 1436801823
2015, 7, 13, 17:42:00, 01:00:03, 1436802120, 1436805723
2015, 7, 13, 20:47:02, 01:00:03, 1436813222, 1436816825
2015, 7, 13, 22:45:08, 01:00:03, 1436820308, 1436823911
2015, 7, 13, 23:56:20, 01:00:03, 1436824580, 1436828183
2015, 7, 16, 14:25:01, 01:00:03, 1437049501, 1437053104
2015, 7, 16, 15:30:00, 01:00:03, 1437053400, 1437057003
2015, 7, 16, 17:44:04, 29:56, 1437061444, 1437063240
2015, 7, 16, 18:19:00, 30:00, 1437063540, 1437065340
2015, 7, 16, 18:54:00, 30:00, 1437065640, 1437067440
